fecha,IGAE_Total,IGAE_Primarias,IGAE_Secundarias,IGAE_Terciarias,Produccion_industrial,Consumo_privado,Ventas_por_menor,Importaciones_bienes_capital,Tasa_desocupacion,Horas_manufacturas,Exportaciones_manufactureras,Confianza_consumidor,Opinion_empresarial,Coincidente_SIC,Adelantado_SIC,INPC,INPC_subyacente,Precios_productor,Valor_produccion_edificacion,Valor_produccion_construccion,EMIM_remuneraciones_medias_reales,EMIM_volumen_fisico_produccion_total,ENOE_ocupados_secundario,ENOE_ocupados_terciario,EMS_personal_servicios_priv_no_fin,EMEC_comercio_por_mayor,EMEC_comercio_por_menor,IGPOSE,ENEC_valor_produccion_subsector_236,ENEC_valor_produccion_subsector_237,ENEC_valor_produccion_sector_23,INPP_mineria_sin_petroleo,INPP_mineria_con_petroleo,INPP_agricultura_forestal_pesca,INPP_con_petroleo_servicios,INPP_sin_petroleo_servicios,INPP_energia_electrica_agua_gas,IGRESE,IGREMSE,Tasa_objetivo,CETES_28_dias,CETES_91_dias,CETES_182_dias,CETES_364_dias,Credito_real_sector_privado,Credito_consumo,Credito_vivienda_banca_comercial,Credito_empresas_actividad_empresarial,Ingresos_tributarios_totales_GF_CG2_millones_pesos,IPC_bolsa,M1,M2,M3,M4,TC_FIX,TIIE_28_dias,Mbono_tasa_fija_3y,Mbono_tasa_fija_5y,Mbono_tasa_fija_10y,EE_inflacion_general_prox12m_mediana,EE_PIB_real_anual_mediana_año_t,EE_TC_pesos_dolar_cierre_año_t_mediana,SPEI_monto_total_pesos,Mas_Asalariados_ganan_hasta_tres_salarios_2025,Mas_IPC_MXX_Close,Mas_Tasa_desocupacion_2025,Mas_Tasa_neta_ocupacion_2025,Mas_Tasa_trabajo_asalariado_2025,IMSS_total_trabajadores,US_INDPRO
1993-01-01,56.4023274118976,62.7707046121685,63.2610303422538,52.3007182488607,63.2606414464627,52.5116038714172,,877.261051463757,,,2987.01654229604,,,74.3,68.0,2.55951565509424,14.2999064519551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8404212921261,7.38400875911906,,,,,1.14480068734727,,,,,,,,,,,,,,,64.5307987407181
1993-02-01,57.5861689740308,64.4016045055788,65.7573063482416,52.998368407941,65.7561102471554,53.2466883025172,,913.894435210382,,,3088.11771428689,,,75.3,68.4,2.56593922967385,14.323397020434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9615381539598,7.37969976727688,,,,,1.13103002192102,,,,,,,,,,7.38773744437242,,,,,64.9002859287124
1993-03-01,57.761024190501,60.7057749939032,66.222786347953,53.1066632160802,66.222680382631,53.7648247746118,,885.121767711438,,,3074.21786129002,,,75.6,69.8,2.57200707883736,14.3140413556612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0216891025441,7.53143701114946,,,,,1.13082447106818,,,,,,,,,,7.53295064211264,,,,,64.9124796404604
1993-04-01,57.1921049866703,60.0094135639059,65.3993073222028,52.9909319147654,65.3986804054549,53.2042624307425,,891.648061922288,,,3278.70755287901,,,73.7,69.5,2.57856315221377,14.3169554512416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0447033473966,7.45696145370675,,,,,1.13677365499323,,,,,,,,,,7.45429163038872,,,,,65.0819905409677
1993-05-01,57.9264468951806,62.9691081019107,65.4045418504495,53.3032968516229,65.404692295795,53.9637626758466,,919.844536016805,,,3276.28849498676,,,75.0,69.3,2.58563080957608,14.3484108033551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0659210468507,7.43041997048642,,,,,1.13510949728733,,,,,,,,,,7.43171412057668,,,,,64.8580328123531
1993-06-01,57.4815047005791,59.4473790828732,64.8896408314537,53.0830854558034,64.8889480922294,53.571941336509,,915.123187211288,,,3551.55862489966,,,74.0,68.6,2.59253783060474,14.433075833114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.076168649992,7.43316903644702,,,,,1.13006718768487,,,,,,,,,,7.43102612974054,,,,,64.9114480390318
1993-07-01,58.3472810372442,68.326607482969,65.4951662293001,53.6146256959065,65.496138898435,53.5202021586873,,920.053710308683,,,3498.88338259696,,,74.4,69.0,2.59977536218653,14.5771724394372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0903872388872,7.47659548550403,,,,,1.1344227553236,,,,,,,,,,7.47597520468559,,,,,65.2429454095046
1993-08-01,58.1106213230638,59.9358333916821,65.6377729095841,53.3651776826913,65.6374531874997,53.2654726778238,,911.029366754868,,,3282.16603412483,,,73.1,69.2,2.6075201366503,14.7754338108131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1001139219118,7.49351731494564,,,,,1.13850306646713,,,,,,,,,,7.49048886529308,,,,,65.0573342778949
1993-09-01,57.8690675686043,62.0155533514733,65.5124841374899,53.0153653071346,65.5122760851716,53.7252049645904,,925.569772106129,,,3567.12056842346,,,71.5,68.6,2.61578934412854,14.9559957144817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1109341744376,7.50205666102078,,,,,1.13974682106511,,,,,,,,,,7.49803853498347,,,,,65.4001650125031
1993-10-01,57.7628556156559,61.8320877732112,65.7729087360809,52.9963358419627,65.7727672859833,53.789292178164,,945.747926991592,,,3828.89369637243,,,71.6,69.3,2.62385922544671,15.1639964031013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.121014194895,7.6239970775927,,,,,1.13562255424127,,,,,,,,,,7.62155874357046,,,,,65.8809347211472
1993-11-01,57.6143703728926,59.0990764734706,65.8100264782489,52.3172733304413,65.8109187747657,53.5207533841879,,886.443792967265,,,3600.40303437128,,,70.5,69.4,2.62643528997831,15.3783889534129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1635345443658,7.66333450698666,,,,,1.13015354860571,,,,,,,,,,7.66367651569445,,,,,66.0739606289116
1993-12-01,58.2916503827823,61.9082451622745,66.8281767990672,53.3514908883452,66.8274732709791,56.0479186722998,,955.808077853457,,,3962.48988166015,,,73.5,70.8,2.62947451822347,15.406641854119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1934206279665,7.81263195544832,,,,,1.13702417918297,,,,,,,,,,7.81422284472071,,,,,66.2954684477128
1994-01-01,58.8537531795495,57.4079882785479,67.3038194934646,54.2135803950574,67.3045334837005,54.5382108262527,,992.425756552277,,,3770.59606682327,,,72.3,72.2,2.63145602103321,15.3812019689427,,,,,,,,,,,,,,,1.97927738346578,1.45495169411471,2.47420027541753,,,10.2949024714748,,,,,,,,,,,,11.0314651000487,7.90323062594719,,,,,1.14145537390104,,,,,,,,,,7.89742711974981,,,,,66.68776677139
1994-02-01,58.6415732259264,64.0548761075406,66.9493669058875,53.9999253511759,66.9479506466489,54.8889433262794,,1031.06044753811,,,3892.88485376278,,,73.1,72.4,2.63491467727597,15.3904112330495,,,,,,,,,,,,,,,1.98264239774448,1.46263531051439,2.45723220058292,,,10.2532912964974,,,,,,,,,,,,11.1295021394438,7.89391698603942,,,,,1.16019534352356,,,,,,,,,,7.90154031040215,,,,,66.7385698258703
1994-03-01,59.1666451246215,62.5649235972881,67.6833365674558,54.3964413282264,67.684052930717,55.0522017567465,,1060.50596807385,,,3935.21701644462,,,73.1,72.3,2.64028834378663,15.3423918350603,,,,,,,,,,,,,,,2.00986531065335,1.5172641885478,2.45901015834108,,,9.8515099252542,,,,,,,,,,,,11.1381118072152,7.83743679913642,,,,,1.21320084878968,,,,,,,,,,7.83867231717619,,,,,67.5137538678195
1994-04-01,60.4266856922968,62.0087183165463,71.0953393877763,54.8982852463692,71.0949939893691,56.060551034313,,1079.81547718442,,,3902.90617959485,,,75.1,71.9,2.6459445293446,15.3439316464598,,,,,,,,,,,,,,,2.02090233040616,1.57399902226802,2.45409941863631,,,9.8883608658026,,,,,,,,,,,,11.1611722530111,7.77725101423832,,,,,1.18709862997627,,,,,,,,,,7.77670432325715,,,,,67.9131024957199
1994-05-01,60.3664580954369,65.2447496200356,68.384503385031,55.4310340654973,68.3837032577973,56.2912910899702,,1022.9969410667,,,4028.48049232381,,,74.4,71.9,2.65237060845294,15.4091176151727,,,,,,,,,,,,,,,2.0218369788817,1.64831910308527,2.45991582335205,,,10.2145242519624,,,,,,,,,,,,11.1702736218631,7.86089510085995,,,,,1.19843441679408,,,,,,,,,,7.85951326005103,,,,,68.2434425663395
1994-06-01,60.4719810433087,67.6330452797932,68.3530565781901,55.5183153191719,68.3528370469438,56.7108624726015,,1083.71214332002,,,4188.62102625196,,,74.3,71.4,2.65874758611742,15.5156357142332,,,,,,,,,,,,,,,2.03459718967396,1.71797610271636,2.4712364118345,,,10.3612075940093,,,,,,,,,,,,11.1847546616236,7.73257735267673,,,,,1.21483275523425,,,,,,,,,,7.73076070192422,,,,,68.6237575007473
1994-07-01,59.9732050775998,56.3897921641602,68.216637239074,55.4089496726746,68.215676462473,56.9666065717417,,1157.40418948783,,,4134.58433656134,,,73.9,71.3,2.66578532288357,15.6555413609446,,,,,,,,,,,,,,,2.05073085022665,1.76195446295081,2.49110651215628,,,10.4624919519897,,,,,,,,,,,,11.1963859418456,7.80459619267053,,,,,1.22179827177017,,,,,,,,,,7.80124168070433,,,,,68.8622089660534
1994-08-01,60.4834102728155,60.1355812135138,69.0346916208134,55.330767742612,69.0343140848515,57.233217473866,,1164.74223087184,,,4143.57635621763,,,74.7,71.3,2.67312769871409,15.8515821800304,,,,,,,,,,,,,,,2.06027813394653,1.7081783160113,2.50260435380493,,,10.6829601312923,,,,,,,,,,,,11.2125362402903,7.84637358423093,,,,,1.22433102973823,,,,,,,,,,7.84749768643969,,,,,69.2118207949364
1994-09-01,60.9008899322167,60.5980029471857,69.2433813841575,55.8945246513852,69.2435860487002,57.2597073323413,,1113.71338611717,,,4169.38945961273,,,74.8,70.8,2.681284580694,16.0366864974942,,,,,,,,,,,,,,,2.06709344304527,1.68463569711071,2.5101418385193,,,10.9320344189004,,,,,,,,,,,,11.2274762590508,7.9021556918416,,,,,1.22680628972305,,,,,,,,,,7.90131439364762,,,,,69.411468818205
1994-10-01,61.1173484625643,66.2578222489588,68.8155529416871,56.3998479377223,68.8162272014708,57.4820624342562,,1195.20727509096,,,4370.70056104102,,,74.5,70.9,2.69032033562513,16.2539230930931,,,,,,,,,,,,,,,2.06225533566852,1.7065187049579,2.51780136346182,,,10.8819901535373,,,,,,,,,,,,11.2408526658616,7.86291566963209,,,,,1.23036066370848,,,,,,,,,,7.86237292031667,,,,,69.9799789206694
1994-11-01,61.3350078686961,59.9101985734134,68.594999600765,56.7188268532555,68.594632075117,57.8470121993269,,1273.50561501664,,,4813.72626785271,,,75.4,71.0,2.69374962928714,16.4803427458344,,,,,,,,,,,,,,,2.05422526137111,1.72968890630361,2.51939684586058,,,10.6864321709564,,,,,,,,,,,,11.2750054402929,7.82720881554054,,,,,1.23166655282257,,,,,,,,,,7.828801773062,,,,,70.3418084546379
1994-12-01,60.524469816888,59.6130863855449,68.4122430705795,56.4492991492317,68.413977550722,57.1247250053819,,1166.61268112463,,,4477.10063034212,,,72.3,69.0,2.69798137384684,16.5726363775929,,,,,,,,,,,,,,,2.12129219589517,1.79020769890734,2.51401777968444,,,10.4763534151721,,,,,,,,13.1695803525532,13.1788403396998,11.4727148251086,12.8449404662556,11.3013134445695,7.72873381018102,,,,,1.61287512186643,,,,,,,,,,7.72879554114955,,,,,70.9147472621149
1995-01-01,60.9436646348632,64.0530370661848,69.3760879395608,56.1459689665472,69.3760157296733,54.4981670016741,,832.371169381529,,,5189.09851175527,,,73.2,62.2,2.72809350462718,17.0053935019802,,,,,,,,,,,,,,,2.32960035037517,2.10839221791702,2.55710709299653,,,10.5113622498421,,,,,,,,13.1925000174995,13.1896646380165,11.4940533942764,12.8483560487725,11.0363055717039,7.62679202975634,,,,,1.78561031825755,,,,,,,,,,7.61072199245999,,,,,71.2299277759247
1995-02-01,56.9861028251481,55.2394186024383,63.1827671669303,53.862178877886,63.1812457904563,53.8798251075346,,733.180936871028,,,5070.01306588555,,,67.5,58.3,2.7677969599902,17.6739938075694,,,,,,,,,,,,,,,2.36045915876291,2.19949624887307,2.58670403045164,,,10.7513502978142,,,,,,,,13.1871224087929,13.1915631419601,11.5151885378186,12.8310256906576,11.1217941271633,7.37398874280338,,,,,1.78864439929103,,,,,,,,,,7.36835789254851,,,,,71.132349354335
1995-03-01,56.7286129469795,60.0960638953949,62.184520518809,53.6655643303851,62.1841536555565,53.2557435703848,,794.037097988236,,,5132.04067660954,,,65.9,51.7,2.82532389808081,18.353965918484,,,,,,,,,,,,,,,2.47086581799154,2.35375526136286,2.63615412155944,,,10.6005500852009,,,,,,,,13.2283599299833,13.2241975139357,11.5429880411812,12.8898340960527,11.1259034133806,7.55231456243503,,,,,1.92447248671308,,,,,,,,,,7.54973941662121,,,,,71.3719578487667
1995-04-01,55.130537446337,65.226128795928,59.5816402922903,52.2929269591011,59.5810886183713,52.7254622714177,,614.890749782322,,,5133.70723172879,,,61.8,52.2,2.90275416736441,19.6673832324998,,,,,,,,,,,,,,,2.55094625698834,2.3240330799677,2.65250582787923,,,13.4358835791705,,,,,,,,13.1752156656583,13.1710378697712,11.5800923418091,12.7990781970194,11.1402835833103,7.61086300644047,,,,,1.80300026388397,,,,,,,,,,7.613941653396,,,,,71.2625559948367
